Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
"5 coils, λ=1e-06",1.0%,1.265e-03,1.252e-03,1.252e-03,8714,3191,0.37,87.140,31.910,0.37,871.400,319.100,0.37,8714,3191,0.37,8.714e+04,3.191e+04,0.37,8.714e+05,3.191e+05,0.37,8.714e+06,3.191e+06,0.37,8.714e+07,3.191e+07,0.37
"5 coils, λ=1e-06",0.10%,1.253e-03,1.252e-03,1.252e-03,8736,3279,0.38,87.360,32.790,0.38,873.600,327.900,0.38,8736,3279,0.38,8.736e+04,3.279e+04,0.38,8.736e+05,3.279e+05,0.38,8.736e+06,3.279e+06,0.38,8.736e+07,3.279e+07,0.38
"5 coils, λ=1e-07",10.0%,4.190e-05,3.809e-05,3.998e-05,3960,32693,8.26,39.600,326.930,8.26,396.000,3269.300,8.26,3960,3.269e+04,8.26,3.960e+04,3.269e+05,8.26,3.960e+05,3.269e+06,8.26,3.960e+06,3.269e+07,8.26,3.960e+07,3.269e+08,8.26
"5 coils, λ=1e-07",1.0%,3.847e-05,3.809e-05,3.998e-05,6732,N/A,N/A,67.320,N/A,N/A,673.200,N/A,N/A,6732,N/A,N/A,6.732e+04,N/A,N/A,6.732e+05,N/A,N/A,6.732e+06,N/A,N/A,6.732e+07,N/A,N/A
"5 coils, λ=1e-07",0.10%,3.813e-05,3.809e-05,3.998e-05,6754,N/A,N/A,67.540,N/A,N/A,675.400,N/A,N/A,6754,N/A,N/A,6.754e+04,N/A,N/A,6.754e+05,N/A,N/A,6.754e+06,N/A,N/A,6.754e+07,N/A,N/A
"5 coils, λ=1e-08",10.0%,6.125e-06,5.569e-06,5.605e-06,12692,37632,2.97,126.920,376.320,2.97,1269.200,3763.200,2.97,1.269e+04,3.763e+04,2.97,1.269e+05,3.763e+05,2.97,1.269e+06,3.763e+06,2.97,1.269e+07,3.763e+07,2.97,1.269e+08,3.763e+08,2.97
"5 coils, λ=1e-08",1.0%,5.624e-06,5.569e-06,5.605e-06,12736,37676,2.96,127.360,376.760,2.96,1273.600,3767.600,2.96,1.274e+04,3.768e+04,2.96,1.274e+05,3.768e+05,2.96,1.274e+06,3.768e+06,2.96,1.274e+07,3.768e+07,2.96,1.274e+08,3.768e+08,2.96
"5 coils, λ=1e-08",0.10%,5.574e-06,5.569e-06,5.605e-06,12758,N/A,N/A,127.580,N/A,N/A,1275.800,N/A,N/A,1.276e+04,N/A,N/A,1.276e+05,N/A,N/A,1.276e+06,N/A,N/A,1.276e+07,N/A,N/A,1.276e+08,N/A,N/A
"6 coils, λ=1e-05",10.0%,2.437e-02,2.215e-02,2.215e-02,261,963,3.69,2.610,9.630,3.69,26.100,96.300,3.69,261,963,3.69,2610,9630,3.69,2.610e+04,9.630e+04,3.69,2.610e+05,9.630e+05,3.69,2.610e+06,9.630e+06,3.69
"6 coils, λ=1e-05",1.0%,2.237e-02,2.215e-02,2.215e-02,482,16433,34.09,4.820,164.330,34.09,48.200,1643.300,34.09,482,1.643e+04,34.09,4820,1.643e+05,34.09,4.820e+04,1.643e+06,34.09,4.820e+05,1.643e+07,34.09,4.820e+06,1.643e+08,34.09
"6 coils, λ=1e-05",0.10%,2.217e-02,2.215e-02,2.215e-02,651,16498,25.34,6.510,164.980,25.34,65.100,1649.800,25.34,651,1.650e+04,25.34,6510,1.650e+05,25.34,6.510e+04,1.650e+06,25.34,6.510e+05,1.650e+07,25.34,6.510e+06,1.650e+08,25.34
"6 coils, λ=1e-06",10.0%,1.211e-03,1.160e-03,1.101e-03,14842,5890,0.40,148.420,58.900,0.40,1484.200,589.000,0.40,1.484e+04,5890,0.40,1.484e+05,5.890e+04,0.40,1.484e+06,5.890e+05,0.40,1.484e+07,5.890e+06,0.40,1.484e+08,5.890e+07,0.40
"6 coils, λ=1e-06",1.0%,1.112e-03,1.160e-03,1.101e-03,N/A,12234,N/A,N/A,122.340,N/A,N/A,1223.400,N/A,N/A,1.223e+04,N/A,N/A,1.223e+05,N/A,N/A,1.223e+06,N/A,N/A,1.223e+07,N/A,N/A,1.223e+08,N/A
"6 coils, λ=1e-06",0.10%,1.102e-03,1.160e-03,1.101e-03,N/A,12299,N/A,N/A,122.990,N/A,N/A,1229.900,N/A,N/A,1.230e+04,N/A,N/A,1.230e+05,N/A,N/A,1.230e+06,N/A,N/A,1.230e+07,N/A,N/A,1.230e+08,N/A
"6 coils, λ=1e-07",10.0%,3.379e-05,3.310e-05,3.072e-05,1429,4239,2.97,14.290,42.390,2.97,142.900,423.900,2.97,1429,4239,2.97,1.429e+04,4.239e+04,2.97,1.429e+05,4.239e+05,2.97,1.429e+06,4.239e+06,2.97,1.429e+07,4.239e+07,2.97
"6 coils, λ=1e-07",1.0%,3.103e-05,3.310e-05,3.072e-05,N/A,14132,N/A,N/A,141.320,N/A,N/A,1413.200,N/A,N/A,1.413e+04,N/A,N/A,1.413e+05,N/A,N/A,1.413e+06,N/A,N/A,1.413e+07,N/A,N/A,1.413e+08,N/A
"6 coils, λ=1e-07",0.10%,3.075e-05,3.310e-05,3.072e-05,N/A,14249,N/A,N/A,142.490,N/A,N/A,1424.900,N/A,N/A,1.425e+04,N/A,N/A,1.425e+05,N/A,N/A,1.425e+06,N/A,N/A,1.425e+07,N/A,N/A,1.425e+08,N/A
"6 coils, λ=1e-08",10.0%,5.339e-06,4.925e-06,4.854e-06,8365,14535,1.74,83.650,145.350,1.74,836.500,1453.500,1.74,8365,1.454e+04,1.74,8.365e+04,1.454e+05,1.74,8.365e+05,1.454e+06,1.74,8.365e+06,1.454e+07,1.74,8.365e+07,1.454e+08,1.74
"6 coils, λ=1e-08",1.0%,4.902e-06,4.925e-06,4.854e-06,N/A,16134,N/A,N/A,161.340,N/A,N/A,1613.400,N/A,N/A,1.613e+04,N/A,N/A,1.613e+05,N/A,N/A,1.613e+06,N/A,N/A,1.613e+07,N/A,N/A,1.613e+08,N/A
"6 coils, λ=1e-08",0.10%,4.859e-06,4.925e-06,4.854e-06,N/A,16160,N/A,N/A,161.600,N/A,N/A,1616.000,N/A,N/A,1.616e+04,N/A,N/A,1.616e+05,N/A,N/A,1.616e+06,N/A,N/A,1.616e+07,N/A,N/A,1.616e+08,N/A
